,Room,Slot,Total Capacity,Total Hours,Used Capacity,Used Hours,Exam 1,Exam 2,Exam 3
315,POPE-A13,2nd Feb Evening,80,2,97,2.0,H71IWEE1,,
316,POPE-A13,3rd Feb Morning,80,3,68,2.0,H72IRNE1,,
317,POPE-A13,3rd Feb Afternoon,80,2,65,2.0,H7BEGDE1,,
318,POPE-A13,3rd Feb Evening,80,2,120,2.0,H7BMOQE1,,
319,POPE-A13,4th Feb Morning,80,3,25,2.0,H7CCNGE1,,
320,POPE-A14,23rd Jan Morning,80,3,81,2.0,N12403E1,,
321,POPE-A14,23rd Jan Afternoon,80,2,25,2.0,N1B422E1,,
322,POPE-A14,23rd Jan Evening,80,2,90,2.0,N11103E1,,
323,POPE-A14,24th Jan Morning,80,3,3,2.0,V81C17E1,,
324,POPE-A14,24th Jan Afternoon,80,2,32,1.5,L11140E1,,
325,POPE-A14,24th Jan Evening,80,2,1,2.0,Q8P010E1,,
326,POPE-A14,25th Jan Morning,80,3,41,1.0,R21104E1,,
327,POPE-A14,25th Jan Afternoon,80,2,28,1.5,R81003E1,,
328,POPE-A14,25th Jan Evening,80,2,64,1.5,V11107E1,,
329,POPE-A14,26th Jan Morning,80,3,19,2.0,R81015E1,,
330,POPE-A14,26th Jan Afternoon,80,2,72,1.5,M11345E1,,
331,POPE-A14,26th Jan Evening,80,2,52,2.0,L31109E1,,
332,POPE-A14,27th Jan Morning,80,3,43,1.5,R21206E1,,
333,POPE-A14,27th Jan Afternoon,80,2,58,0.83,K1AHWAE2,,
334,POPE-A14,27th Jan Evening,80,2,59,2.0,K1APADE1,,
335,POPE-A14,28th Jan Morning,80,3,19,1.0,V41112E1,,
336,POPE-A14,30th Jan Morning,80,3,187,1.5,M3A010E1,,
337,POPE-A14,30th Jan Afternoon,80,2,10,1.0,V41103E1,,
338,POPE-A14,30th Jan Evening,80,2,16,1.0,LK10RAE1,,
339,POPE-A14,31st Jan Morning,80,3,13,1.0,C81J5AE1,,
340,POPE-A14,31st Jan Afternoon,80,2,13,1.0,C81J5AE2,,
341,POPE-A14,31st Jan Evening,80,2,8,1.0,R8A011E1,,
342,POPE-A14,1st Feb Morning,80,3,104,2.0,L81122E1,,
343,POPE-A14,1st Feb Afternoon,80,2,14,1.5,M11343E1,,
344,POPE-A14,1st Feb Evening,80,2,48,2.0,L31107E1,,
345,POPE-A14,2nd Feb Morning,80,3,27,3.0,B11101E1,,
346,POPE-A14,2nd Feb Afternoon,80,2,23,1.0,C81HAAE1,,
347,POPE-A14,2nd Feb Evening,80,2,6,1.0,C81J3AE1,,
348,POPE-A14,3rd Feb Morning,80,3,6,1.0,C81J3AE2,,
349,POPE-A14,3rd Feb Afternoon,80,2,71,2.0,G111GAE1,,
350,POPE-A14,3rd Feb Evening,80,2,165,2.0,G111VAE1,,
351,POPE-A14,4th Feb Morning,80,3,89,2.0,L81112E1,,
352,ART-LECTURE,23rd Jan Morning,80,3,18,1.0,C81J2AE1,,
353,ART-LECTURE,23rd Jan Afternoon,80,2,18,1.0,C81J2AE2,,
354,ART-LECTURE,23rd Jan Evening,80,2,40,2.0,M11451E1,,
355,ART-LECTURE,24th Jan Morning,80,3,2,2.0,Q3A301E1,,
356,ART-LECTURE,24th Jan Afternoon,80,2,2,1.0,Q81011E1,,
357,ART-LECTURE,24th Jan Evening,80,2,121,1.0,C81HDAE1,,
358,ART-LECTURE,25th Jan Morning,80,3,68,2.0,C12321E1,,
359,ART-LECTURE,25th Jan Afternoon,80,2,58,2.0,C12327E1,,
360,ART-LECTURE,25th Jan Evening,80,2,57,2.0,C12338E1,,
361,ART-LECTURE,26th Jan Morning,80,3,102,2.0,C41101E1,,
362,ART-LECTURE,26th Jan Afternoon,80,2,1,1.0,D21102E1,,
363,ART-LECTURE,26th Jan Evening,80,2,1,2.0,D23342E1,,
364,ART-LECTURE,27th Jan Morning,80,3,63,2.0,M3B055E1,,
365,ART-LECTURE,27th Jan Afternoon,80,2,56,1.5,L11150E1,,
366,ART-LECTURE,27th Jan Evening,80,2,8,2.0,M13367E1,,
367,ART-LECTURE,28th Jan Morning,80,3,126,1.0,C81HCAE1,,
368,ART-LECTURE,30th Jan Morning,80,3,59,1.0,G111CCE1,,
369,ART-LECTURE,30th Jan Afternoon,80,2,13,1.5,M11341E1,,
370,ART-LECTURE,30th Jan Evening,80,2,9,1.0,C81J4AE1,,
371,ART-LECTURE,31st Jan Morning,80,3,9,1.0,C81J4AE2,,
372,ART-LECTURE,31st Jan Afternoon,80,2,43,1.5,K4C140E1,,
373,ART-LECTURE,31st Jan Evening,80,2,16,1.5,K4P100E1,,
374,ART-LECTURE,1st Feb Morning,80,3,82,2.0,M33060E1,,
375,ART-LECTURE,1st Feb Afternoon,80,2,37,2.0,C8COUAE1,,
376,ART-LECTURE,1st Feb Evening,80,2,19,1.5,N1B420E1,,
377,ART-LECTURE,2nd Feb Morning,80,3,58,1.5,L13502E1,,
378,ART-LECTURE,2nd Feb Afternoon,80,2,46,1.5,L13504E1,,
379,ART-LECTURE,2nd Feb Evening,80,2,68,2.0,L13505E1,,
380,ART-LECTURE,3rd Feb Morning,80,3,64,1.5,L13507E1,,
381,ART-LECTURE,3rd Feb Afternoon,80,2,33,1.5,L13509E1,,
382,ART-LECTURE,3rd Feb Evening,80,2,18,2.0,L3C064E1,,
383,ART-LECTURE,4th Feb Morning,80,3,97,2.0,M33042E1,,
384,ART-SEMINAR,23rd Jan Morning,15,3,30,3.0,M33059E1,,
385,ART-SEMINAR,23rd Jan Afternoon,15,2,20,2.0,C8CXCHE1,,
386,ART-SEMINAR,23rd Jan Evening,15,2,19,1.5,C8CXPAE1,,
387,ART-SEMINAR,24th Jan Morning,15,3,10,2.0,M33036E1,,
388,ART-SEMINAR,24th Jan Afternoon,15,2,29,2.0,M33064E1,,
389,ART-SEMINAR,24th Jan Evening,15,2,76,2.0,M3B066E1,,
390,ART-SEMINAR,25th Jan Morning,15,3,28,1.5,K43100E1,,
391,ART-SEMINAR,25th Jan Afternoon,15,2,42,1.5,K4C110E1,,
392,ART-SEMINAR,25th Jan Evening,15,2,42,1.5,K4C120E1,,
393,ART-SEMINAR,26th Jan Morning,15,3,125,1.5,N13304E1,,
394,ART-SEMINAR,26th Jan Afternoon,15,2,42,2.0,L13503E1,,
395,ART-SEMINAR,26th Jan Evening,15,2,52,1.5,L13508E1,,
396,ART-SEMINAR,27th Jan Morning,15,3,20,1.5,L13516E1,,
397,ART-SEMINAR,27th Jan Afternoon,15,2,28,2.0,M33053E1,,
398,ART-SEMINAR,27th Jan Evening,15,2,9,3.0,LK44SAE1,,
399,ART-SEMINAR,28th Jan Morning,15,3,48,2.0,M33074E1,,
400,ART-SEMINAR,30th Jan Morning,15,3,11,3.0,LK44GAE1,,
401,ART-SEMINAR,30th Jan Afternoon,15,2,58,2.0,M3B031E1,,
402,ART-SEMINAR,30th Jan Evening,15,2,51,2.0,M3B043E1,,
403,ART-SEMINAR,31st Jan Morning,15,3,28,2.17,N13305E1,,
404,ART-SEMINAR,31st Jan Afternoon,15,2,30,2.0,N1B404E1,,
405,ART-SEMINAR,31st Jan Evening,15,2,67,1.5,N13303E1,,
406,ART-SEMINAR,1st Feb Morning,15,3,31,2.0,N1B409E1,,
407,ART-SEMINAR,1st Feb Afternoon,15,2,48,1.5,N1B406E1,,
408,ART-SEMINAR,1st Feb Evening,15,2,82,3.0,L83160E1,,
409,ART-SEMINAR,2nd Feb Morning,15,3,48,2.0,K1BBS1E1,,
410,ART-SEMINAR,2nd Feb Afternoon,15,2,48,2.0,K1BCSTE1,,
411,ART-SEMINAR,2nd Feb Evening,15,2,20,2.0,C83XWHE1,,
412,ART-SEMINAR,3rd Feb Morning,15,3,32,3.0,LK44FAE1,,
413,ART-SEMINAR,3rd Feb Afternoon,15,2,28,2.0,M3B057E1,,
414,ART-SEMINAR,3rd Feb Evening,15,2,16,2.0,C8CXCEE1,,
415,ART-SEMINAR,4th Feb Morning,15,3,542,2.0,HGAEM2E1,,
416,SPORT-LGE1,23rd Jan Morning,250,3,89,1.5,L11120E1,,
417,SPORT-LGE1,23rd Jan Afternoon,250,2,20,2.0,N13301E1,,
418,SPORT-LGE1,23rd Jan Evening,250,2,38,2.0,N1B407E1,,
419,SPORT-LGE1,24th Jan Morning,250,3,50,2.0,L3C086E1,,
420,SPORT-LGE1,24th Jan Afternoon,250,2,97,2.0,C82BUAE1,,
421,SPORT-LGE1,24th Jan Evening,250,2,17,2.0,N13302E1,,
422,SPORT-LGE1,25th Jan Morning,250,3,12,2.0,M3B062E1,,
423,SPORT-LGE1,25th Jan Afternoon,250,2,13,2.0,L83122E1,,
424,SPORT-LGE1,25th Jan Evening,250,2,8,2.0,L83123E1,,
425,SPORT-LGE1,26th Jan Morning,250,3,14,2.0,L83120E1,,
426,SPORT-LGE1,26th Jan Afternoon,250,2,20,2.0,L13521E1,,
427,SPORT-LGE1,26th Jan Evening,250,2,75,2.0,C82MHAE1,,
428,SPORT-LGE1,27th Jan Morning,250,3,45,2.0,N1B405E1,,
429,SPORT-LGE1,27th Jan Afternoon,250,2,24,2.0,G111VBE1,,
430,SPORT-LGE1,27th Jan Evening,250,2,15,2.0,L13520E1,,
431,SPORT-LGE1,28th Jan Morning,250,3,184,2.0,M3B030E1,,
432,SPORT-LGE1,30th Jan Morning,250,3,11,2.0,L13510E1,,
433,SPORT-LGE1,30th Jan Afternoon,250,2,8,2.0,L13511E1,,
434,SPORT-LGE1,30th Jan Evening,250,2,70,2.0,L82111E1,,
435,SPORT-LGE1,31st Jan Morning,250,3,75,1.5,L82113E1,,
436,SPORT-LGE1,31st Jan Afternoon,250,2,137,1.0,L12303E1,,
437,SPORT-LGE1,31st Jan Evening,250,2,5,2.0,C8CXDLE1,,
438,SPORT-LGE1,1st Feb Morning,250,3,25,2.0,L11110E1,,
439,SPORT-LGE1,1st Feb Afternoon,250,2,9,2.0,M3B049E1,,
440,SPORT-LGE1,1st Feb Evening,250,2,155,2.0,M3A002E1,,
441,SPORT-LGE1,2nd Feb Morning,250,3,176,1.5,M3A015E1,,
442,SPORT-LGE1,2nd Feb Afternoon,250,2,102,1.5,N12203E1,,
443,SPORT-LGE1,2nd Feb Evening,250,2,120,1.5,N1B201E1,,
444,SPORT-LGE1,3rd Feb Morning,250,3,123,1.5,N1B202E1,,
445,SPORT-LGE1,3rd Feb Afternoon,250,2,14,2.0,N1B408E1,,
446,SPORT-LGE1,3rd Feb Evening,250,2,107,2.0,L12302E1,,
447,SPORT-LGE1,4th Feb Morning,250,3,21,2.0,L12310E1,,
448,SPORT-LGE2,23rd Jan Morning,230,3,105,1.0,L12404E1,,
449,SPORT-LGE2,23rd Jan Afternoon,230,2,53,2.0,K1AEU1E1,,
450,SPORT-LGE2,23rd Jan Evening,230,2,52,2.0,K1BACOE1,,
451,SPORT-LGE2,24th Jan Morning,230,3,51,2.0,K1BTMSE1,,
452,SPORT-LGE2,24th Jan Afternoon,230,2,31,1.5,K42120E1,,
453,SPORT-LGE2,24th Jan Evening,230,2,42,2.0,C82MJAE1,,
454,SPORT-LGE2,25th Jan Morning,230,3,31,3.0,L12320E1,,
455,SPORT-LGE2,25th Jan Afternoon,230,2,21,2.0,M3B034E1,,
456,SPORT-LGE2,25th Jan Evening,230,2,1,1.5,L82124E1,,
457,SPORT-LGE2,26th Jan Morning,230,3,6,2.0,LKA1JAE1,,
458,SPORT-LGE2,26th Jan Afternoon,230,2,17,2.0,HGBEM4E1,,
459,SPORT-LGE2,26th Jan Evening,230,2,126,1.5,L11101E1,,
460,SPORT-LGE2,27th Jan Morning,230,3,155,2.0,N11102E1,,
461,SPORT-LGE2,27th Jan Afternoon,230,2,35,2.0,L12330E1,,
462,SPORT-LGE2,27th Jan Evening,230,2,113,1.0,C81MSAE1,,
463,SPORT-LGE2,28th Jan Morning,230,3,1,1.5,V71101E1,,
464,SPORT-LGE2,30th Jan Morning,230,3,9,2.0,K4C280E1,,
465,SPORT-LGE2,30th Jan Afternoon,230,2,21,2.0,K4P300E1,,
466,SPORT-LGE2,30th Jan Evening,230,2,8,2.0,K4C290E1,,
467,SPORT-LGE2,31st Jan Morning,230,3,30,1.5,K41210E1,,
468,SPORT-LGE2,31st Jan Afternoon,230,2,36,1.5,L82132E1,,
469,SPORT-LGE2,31st Jan Evening,230,2,112,2.0,F11O02E1,,
470,SPORT-LGE2,1st Feb Morning,230,3,40,2.0,G11MA2E1,,
471,SPORT-LGE2,1st Feb Afternoon,230,2,165,2.0,G11PR1E1,,
472,SPORT-LGE2,1st Feb Evening,230,2,9,2.0,H22G06E1,,
473,SPORT-LGE2,2nd Feb Morning,230,3,171,2.0,M31001E1,,
474,SPORT-LGE2,2nd Feb Afternoon,230,2,168,2.0,M31012E1,,
475,SPORT-LGE2,2nd Feb Evening,230,2,32,2.0,L11111E1,,
476,SPORT-LGE2,3rd Feb Morning,230,3,11,1.0,C82MCPE1,,
477,SPORT-LGE2,3rd Feb Afternoon,230,2,115,2.0,G12PR1E1,,
478,SPORT-LGE2,3rd Feb Evening,230,2,112,2.0,G12ST1E1,,
479,SPORT-LGE2,4th Feb Morning,230,3,15,2.0,G111DGE1,,
480,SPORT-SMALL,23rd Jan Morning,270,3,12,1.0,C82HUAE1,,
481,SPORT-SMALL,23rd Jan Afternoon,270,2,1,2.0,L31073E1,,
482,SPORT-SMALL,23rd Jan Evening,270,2,121,1.0,C81HBAE1,,
483,SPORT-SMALL,24th Jan Morning,270,3,63,1.5,L11102E1,,
484,SPORT-SMALL,24th Jan Afternoon,270,2,24,2.0,HG1J1BE1,,
485,SPORT-SMALL,24th Jan Evening,270,2,34,2.0,G111ACE1,,
486,SPORT-SMALL,25th Jan Morning,270,3,31,1.5,K41110E1,,
487,SPORT-SMALL,25th Jan Afternoon,270,2,53,2.0,K1AHRSE1,,
488,SPORT-SMALL,25th Jan Evening,270,2,54,2.0,K1ATS1E1,,
489,SPORT-SMALL,26th Jan Morning,270,3,205,2.0,C71101E1,,
490,SPORT-SMALL,26th Jan Afternoon,270,2,161,1.0,F311M1E1,,
491,SPORT-SMALL,26th Jan Evening,270,2,175,1.0,F311T1E1,,
492,SPORT-SMALL,27th Jan Morning,270,3,28,2.0,G51HOCE1,,
493,SPORT-SMALL,27th Jan Afternoon,270,2,110,2.0,B11102E1,,
494,SPORT-SMALL,27th Jan Evening,270,2,66,2.0,H7CMSGE1,,
495,SPORT-SMALL,28th Jan Morning,270,3,22,2.0,H7CORGE1,,
496,SPORT-SMALL,30th Jan Morning,270,3,1,2.0,M13468E1,,
497,SPORT-SMALL,30th Jan Afternoon,270,2,172,3.0,G11MA1E1,,
498,SPORT-SMALL,30th Jan Evening,270,2,12,1.0,C82DUAE1,,
499,SPORT-SMALL,31st Jan Morning,270,3,62,2.0,G52ALGE1,,
500,SPORT-SMALL,31st Jan Afternoon,270,2,61,2.0,G52OBJE1,,
501,SPORT-SMALL,31st Jan Evening,270,2,31,1.75,G5BAIPE1,,
502,SPORT-SMALL,1st Feb Morning,270,3,81,2.0,G5BCCNE1,,
503,SPORT-SMALL,1st Feb Afternoon,270,2,61,2.0,G5BDBSE1,,
504,SPORT-SMALL,1st Feb Evening,270,2,103,2.0,F13I02E1,,
505,SPORT-SMALL,2nd Feb Morning,270,3,103,2.0,F13O02E1,,
506,SPORT-SMALL,2nd Feb Afternoon,270,2,111,2.0,F13P01E1,,
507,SPORT-SMALL,2nd Feb Evening,270,2,86,2.0,F13X04E1,,
508,SPORT-SMALL,3rd Feb Morning,270,3,49,1.75,G53FSPE1,,
509,SPORT-SMALL,3rd Feb Afternoon,270,2,25,1.75,G53VIPE1,,
510,SPORT-SMALL,3rd Feb Evening,270,2,93,1.0,B33541E1,,
511,SPORT-SMALL,4th Feb Morning,270,3,93,1.0,B33544E1,,
